attack_row_id,date_complete,annee,pays,zone,localite,activite,type_attaque,attack_latitude,attack_longitude,species,nearest_gbif_record_id,nearest_distance_km,gbif_coordinate_uncertainty_m,distance_band,occurrences_within_25km,occurrences_within_100km,juvenile_occurrences_within_100km,gbif_observed_at,gbif_source_url
123,,1847,USA,South Carolina,,Watercraft,Unprovoked,33.6874388,-80.4363743,Carcharhinus leucas,6130999421,509.37,29533.0,pas_de_proximite_100km,0,0,0,2026-01-17T15:30:29,https://www.gbif.org/occurrence/6130999421
123,,1847,USA,South Carolina,,Watercraft,Unprovoked,33.6874388,-80.4363743,Carcharodon carcharias,6441095820,117.09,257.0,pas_de_proximite_100km,0,0,0,2026-03-27T20:47:37,https://www.gbif.org/occurrence/6441095820
123,,1847,USA,South Carolina,,Watercraft,Unprovoked,33.6874388,-80.4363743,Galeocerdo cuvier,6399752821,172.66,28902.0,pas_de_proximite_100km,0,0,0,2026-06-04T11:19,https://www.gbif.org/occurrence/6399752821
123,,1847,USA,South Carolina,,Watercraft,Unprovoked,33.6874388,-80.4363743,Rhincodon typus,6253026970,1026.33,30069.0,pas_de_proximite_100km,0,0,0,2026-04-27T07:00,https://www.gbif.org/occurrence/6253026970
127,,1847,AUSTRALIA,Queensland,Moreton Bay,Inconnue,Unprovoked,-27.2397819,153.2539994,Carcharhinus leucas,6519486079,18.15,2519.0,proximite_forte,2,7,5,2026-03-20T23:00:36,https://www.gbif.org/occurrence/6519486079
127,,1847,AUSTRALIA,Queensland,Moreton Bay,Inconnue,Unprovoked,-27.2397819,153.2539994,Carcharodon carcharias,6162878281,319.5,7.0,pas_de_proximite_100km,0,0,0,2026-02-22T09:03:13,https://www.gbif.org/occurrence/6162878281
127,,1847,AUSTRALIA,Queensland,Moreton Bay,Inconnue,Unprovoked,-27.2397819,153.2539994,Galeocerdo cuvier,6133086834,117.89,5.0,pas_de_proximite_100km,0,0,0,2026-02-02T13:14:46,https://www.gbif.org/occurrence/6133086834
127,,1847,AUSTRALIA,Queensland,Moreton Bay,Inconnue,Unprovoked,-27.2397819,153.2539994,Rhincodon typus,5938466615,1459.57,30841.0,pas_de_proximite_100km,0,0,0,2026-01-03T11:33,https://www.gbif.org/occurrence/5938466615
128,1847-03-11,1847,AUSTRALIA,Queensland,Moreton Bay,Wreck of the Sovereign,Sea Disaster,-27.2397819,153.2539994,Carcharhinus leucas,6519486079,18.15,2519.0,proximite_forte,2,7,5,2026-03-20T23:00:36,https://www.gbif.org/occurrence/6519486079
128,1847-03-11,1847,AUSTRALIA,Queensland,Moreton Bay,Wreck of the Sovereign,Sea Disaster,-27.2397819,153.2539994,Carcharodon carcharias,6162878281,319.5,7.0,pas_de_proximite_100km,0,0,0,2026-02-22T09:03:13,https://www.gbif.org/occurrence/6162878281
128,1847-03-11,1847,AUSTRALIA,Queensland,Moreton Bay,Wreck of the Sovereign,Sea Disaster,-27.2397819,153.2539994,Galeocerdo cuvier,6133086834,117.89,5.0,pas_de_proximite_100km,0,0,0,2026-02-02T13:14:46,https://www.gbif.org/occurrence/6133086834
128,1847-03-11,1847,AUSTRALIA,Queensland,Moreton Bay,Wreck of the Sovereign,Sea Disaster,-27.2397819,153.2539994,Rhincodon typus,5938466615,1459.57,30841.0,pas_de_proximite_100km,0,0,0,2026-01-03T11:33,https://www.gbif.org/occurrence/5938466615
134,1849-12-09,1849,AUSTRALIA,New South Wales,Sydney Harbor,Inconnue,Unprovoked,-33.8661645,151.1995721,Carcharhinus leucas,6481240461,13.42,17.0,proximite_forte,1,1,0,2026-01-22T00:00,https://www.gbif.org/occurrence/6481240461
134,1849-12-09,1849,AUSTRALIA,New South Wales,Sydney Harbor,Inconnue,Unprovoked,-33.8661645,151.1995721,Carcharodon carcharias,6159298926,249.7,,pas_de_proximite_100km,0,0,0,2026-02-03T04:38:07,https://www.gbif.org/occurrence/6159298926
134,1849-12-09,1849,AUSTRALIA,New South Wales,Sydney Harbor,Inconnue,Unprovoked,-33.8661645,151.1995721,Galeocerdo cuvier,6133086834,663.6,5.0,pas_de_proximite_100km,0,0,0,2026-02-02T13:14:46,https://www.gbif.org/occurrence/6133086834
134,1849-12-09,1849,AUSTRALIA,New South Wales,Sydney Harbor,Inconnue,Unprovoked,-33.8661645,151.1995721,Rhincodon typus,6235620031,2050.57,28818.0,pas_de_proximite_100km,0,0,0,2026-02-19T12:26,https://www.gbif.org/occurrence/6235620031
137,1849-01-27,1849,AUSTRALIA,New South Wales,Sydney,boat capsized,Invalid,-33.8698439,151.2082848,Carcharhinus leucas,6481240461,14.31,17.0,proximite_forte,1,1,0,2026-01-22T00:00,https://www.gbif.org/occurrence/6481240461
137,1849-01-27,1849,AUSTRALIA,New South Wales,Sydney,boat capsized,Invalid,-33.8698439,151.2082848,Carcharodon carcharias,6159298926,249.62,,pas_de_proximite_100km,0,0,0,2026-02-03T04:38:07,https://www.gbif.org/occurrence/6159298926
