rang,pays,zone,localite,incidents_declares
2598,NEW ZEALAND,Cook Islands,Rarotonga,1
2599,NEW ZEALAND,Cook Strait,Tory Channel,1
2600,NEW ZEALAND,Cook islans,Penhryn Island,1
2601,NEW ZEALAND,Foveaux Strait,Stewart Island,1
2602,NEW ZEALAND,Inconnu,Stewart Island,1
2603,NEW ZEALAND,Mercury Islands,Great Mercury Island,1
2604,NEW ZEALAND,North Island,Alderman Islands,1
2605,NEW ZEALAND,North Island,Auckland,1
2606,NEW ZEALAND,North Island,Baylys Beach,1
2607,NEW ZEALAND,North Island,Between the Kakanui River and Campbell's Bay,1
2608,NEW ZEALAND,North Island,Cormandel,1
2609,NEW ZEALAND,North Island,East Cape,1
2610,NEW ZEALAND,North Island,Haumoana,1
2611,NEW ZEALAND,North Island,Hawkes Bay,1
2612,NEW ZEALAND,North Island,"Hokio Beach, near Levin",1
2613,NEW ZEALAND,North Island,Kaipara,1
2614,NEW ZEALAND,North Island,"Lampton Harbour, Wellington",1
2615,NEW ZEALAND,North Island,Leigh,1
2616,NEW ZEALAND,North Island,Mahurangi River Mouth,1
2617,NEW ZEALAND,North Island,"Mangawhai, near Wellsford",1
2618,NEW ZEALAND,North Island,Maraetai,1
2619,NEW ZEALAND,North Island,"Marine Parade, Napier, Hawke Bay",1
2620,NEW ZEALAND,North Island,Matakana River Mouth,1
2621,NEW ZEALAND,North Island,Matauri Bay,1
2622,NEW ZEALAND,North Island,"Miranda Head, Hauriki Gulf",1
2623,NEW ZEALAND,North Island,Moko Hinau,1
2624,NEW ZEALAND,North Island,Mototapu Island,1
2625,NEW ZEALAND,North Island,Motunui,1
2626,NEW ZEALAND,North Island,Muriwai,1
2627,NEW ZEALAND,North Island,Napier,1
2628,NEW ZEALAND,North Island,North Auckland,1
2629,NEW ZEALAND,North Island,"Oakura Beach, Taranaki",1
2630,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",1
2631,NEW ZEALAND,North Island,Off Tutukaka,1
2632,NEW ZEALAND,North Island,Omaha Beach,1
2633,NEW ZEALAND,North Island,"Opunake, Taranake",1
2634,NEW ZEALAND,North Island,Otaki,1
2635,NEW ZEALAND,North Island,"Palliser Bay, Whatarangi (east of Wellington)",1
2636,NEW ZEALAND,North Island,"Papamoa, near Tauranga, Bay of Plenty",1
2637,NEW ZEALAND,North Island,Pauanui Beach,1
2638,NEW ZEALAND,North Island,"Petone Beach, Wellington",1
2639,NEW ZEALAND,North Island,"Pilot Bay, Mt Maunganui",1
2640,NEW ZEALAND,North Island,Poverty Bay,1
2641,NEW ZEALAND,North Island,"Princes Wharf, Auckland Harbor",1
2642,NEW ZEALAND,North Island,"Raglan, Manu Bay",1
2643,NEW ZEALAND,North Island,Rockhampton,1
2644,NEW ZEALAND,North Island,Sandy Bay/Whananaki,1
2645,NEW ZEALAND,North Island,"Slipper Island, Coromandel Peninsula",1
2646,NEW ZEALAND,North Island,"Soldier's Point, Brick Bay, Auckland",1
2647,NEW ZEALAND,North Island,South of New Plymouth,1
2648,NEW ZEALAND,North Island,"St. George's Bay, Auckland Harbor",1
2649,NEW ZEALAND,North Island,"Stanley Bay, Auckland Harbor",1
2650,NEW ZEALAND,North Island,"Stanmore Bay, Auckland",1
2651,NEW ZEALAND,North Island,Takapuna,1
2652,NEW ZEALAND,North Island,Taupiri Bay,1
2653,NEW ZEALAND,North Island,Tauranga,1
2654,NEW ZEALAND,North Island,Te Arai Point,1
2655,NEW ZEALAND,North Island,"Te Kaha, East coast",1
2656,NEW ZEALAND,North Island,Ti Point,1
2657,NEW ZEALAND,North Island,"Waiapu River mouth , East Cape",1
2658,NEW ZEALAND,North Island,"Waihī  Beach, Bay of Plenty",1
2659,NEW ZEALAND,North Island,"Waikanae Beach, Gisborne",1
2660,NEW ZEALAND,North Island,Waitara,1
2661,NEW ZEALAND,North Island,Wanganui,1
2662,NEW ZEALAND,North Island,Wellington Harbor,1
2663,NEW ZEALAND,North Island,"West of Pukerua Bay, Wellington",1
2664,NEW ZEALAND,North Island,Whangarei,1
2665,NEW ZEALAND,North Island,"Whiritoa, Eastern Cormandel",1
2666,NEW ZEALAND,North Island,White Island,1
2667,NEW ZEALAND,North Island,"Wynyard Wharf, Auckland Harbor",1
2668,NEW ZEALAND,Northlands,90 Mile Beach,1
2669,NEW ZEALAND,"Off the Coromandel Peninsula, North Island",Alderman Islands,1
2670,NEW ZEALAND,South Island,Campbell’s Point,1
2671,NEW ZEALAND,South Island,"Charteris Bay, Lyttleton Harbour",1
2672,NEW ZEALAND,South Island,Christchurch,1
2673,NEW ZEALAND,South Island,Clark Island,1
2674,NEW ZEALAND,South Island,Cobden,1
2675,NEW ZEALAND,South Island,Codfish Island (Whenua Hau) west of Stewart Island,1
2676,NEW ZEALAND,South Island,Cosy Nook,1
2677,NEW ZEALAND,South Island,"Fairdown Beach, 5 miles north of Westport",1
2678,NEW ZEALAND,South Island,"Friendly Bay, Oamaru",1
2679,NEW ZEALAND,South Island,Garden Bay near Cosy Nook,1
2680,NEW ZEALAND,South Island,Hoiktika,1
2681,NEW ZEALAND,South Island,Kaikoura,1
2682,NEW ZEALAND,South Island,Karitane Beach,1
2683,NEW ZEALAND,South Island,Lyttleton?,1
2684,NEW ZEALAND,South Island,Marfells Beach,1
2685,NEW ZEALAND,South Island,"Menzies Bay, Banks Peninsula,",1
2686,NEW ZEALAND,South Island,Near the mouth of the Clarence River,1
2687,NEW ZEALAND,South Island,New Brighton,1
2688,NEW ZEALAND,South Island,"Ngatuka Bay, near Picton",1
2689,NEW ZEALAND,South Island,Oreti Beach (reported as the 4th person bitten in NZ in 2000),1
2690,NEW ZEALAND,South Island,Otago Harbor,1
2691,NEW ZEALAND,South Island,"Pigeon Bay, Canterbury",1
2692,NEW ZEALAND,South Island,Pororari River,1
2693,NEW ZEALAND,South Island,Porpoise Bay,1
2694,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",1
2695,NEW ZEALAND,South Island,Port Moeraki,1
2696,NEW ZEALAND,South Island,Preservation Inlet,1
2697,NEW ZEALAND,South Island,Snapper Point,1
2698,NEW ZEALAND,South Island,St. Kilda Beach,1
2699,NEW ZEALAND,South Island,"Sunday Cove, Fiordland",1
2700,NEW ZEALAND,South Island,"Tahuna Beach, Nelson",1
2701,NEW ZEALAND,South Island,Tahunanui Beach,1
2702,NEW ZEALAND,"South Island, near Karitane north of Dunedin",South Beach,1
2703,NEW ZEALAND,South Island?,Downs River,1
2704,NEW ZEALAND,Southland,East side of Bench Island in the Foveaux Strait,1
2705,NEW ZEALAND,Southland,Long Beach,1
2706,NICARAGUA,Lake Nicaragua (fresh water),"Granada, Granada Department",1
2707,NICARAGUA,Lake Nicaragua (fresh water),Inconnu,1
2708,NICARAGUA,Lower San Juan River,Inconnu,1
2709,NICARAGUA,Pacific coast,San Jan del Sur,1
2710,NICARAGUA,Rio San Juan,Greytown,1
2711,NICARAGUA,Salinas Bay,"A shark was caught, its head severed from body and hung from the anchor davit onboard the U.S.S. Borie",1
2712,NIGERIA,Bayelsa State,Mouth of the Nun River,1
2713,NIGERIA,Delta,Oboro,1
2714,NIGERIA,Lagos,Lagos,1
2715,NIGERIA,Rivers State,Bonny River,1
2716,NORTH ATLANTIC OCEAN,Georges Bank,Inconnu,1
2717,NORTH ATLANTIC OCEAN,In the Gulf Stream,Between Bimini & Miami,1
2718,NORTH ATLANTIC OCEAN,Inconnu,Onboard swordfish trawler,1
2719,NORTH ATLANTIC OCEAN,Open sea,Inconnu,1
2720,NORTH ATLANTIC OCEAN,South Carolina,400 miles off the le,1
2721,NORTH PACIFIC OCEAN,Between Kwajalein Atoll & Johnston Island,500 nautical miles southwest of Johnston Island,1
2722,NORTH PACIFIC OCEAN,Inconnu,Aircraft went down on 6/12/1944. He survived on raft for 11 days and was 150 miles off Guam when rescued,1
2723,NORTH PACIFIC OCEAN,Inconnu,Inconnu,1
2724,NORTH PACIFIC OCEAN,Wake Island (EnenKio),"Leeward side of island, directly in back of Mid-Pac barrel storage area",1
2725,NORTH SEA,"Unknown, treated at Wick, SCOTLAND","On board  East German fishing trawler, I Mai",1
2726,NORTHERN ARABIAN SEA,Inconnu,Inconnu,1
2727,NORTHERN MARIANA ISLANDS,Saipan,Inconnu,1
2728,NORWAY,Inconnu,Herøy,1
2729,NORWAY,Oslo Fjord,Sjøstrand,1
2730,OCEAN,"Somewhere between Philadelphia and Hiogo, Japan",Inconnu,1
2731,OKINAWA,Miyako,Hirara,1
2732,OKINAWA,Miyako,Hirara City,1
2733,OKINAWA,Miyako Island,Boragawa Beach,1
2734,OKINAWA,Miyako Island,Sunayama Beach,1
2735,PACIFIC OCEAN,"1,000 miles east of Hawaii",Inconnu,1
2736,PACIFIC OCEAN,180 miles southeast of Okinawa,Inconnu,1
2737,PACIFIC OCEAN,"250 miles southwest of O'ahu, Hawaii",Japanese fishing boat Taihei Maru No.10,1
2738,PACIFIC OCEAN,330 to 350 miles east of Wake Island,Inconnu,1
2739,PACIFIC OCEAN,Between Australia & USA,Inconnu,1
2740,PACIFIC OCEAN,Between Hawaii and U.S.A.,Inconnu,1
2741,PACIFIC OCEAN,Inconnu,In Los Angeles – Honolulu yacht race,1
2742,PACIFIC OCEAN,Inconnu,Off Central American coast at 8N.79W,1
2743,PACIFIC OCEAN,Near the Fiji Islands,22º08'S  : 178º06'W,1
2744,PACIFIC OCEAN,Northwest of Papua New Guinea,Inconnu,1
2745,PACIFIC OCEAN,Off coast of Ecuador,Between Esmeraldas & Salinas,1
2746,PALAU,Aulong Island,Aulong Channel,1
2747,PALAU,Western Caroline Islands,Inconnu,1
2748,PALAU,Western Caroline Islands (North Pacific Ocean),Outside barrier reef,1
2749,PALESTINIAN TERRITORIES,Inconnu,Gaza,1
2750,PANAMA,150 miles offshore,Inconnu,1
2751,PANAMA,"2 to 3 miles off Taboguilla Island, Pacific Ocean",Pacific Anchorage off the Panama Canal,1
2752,PANAMA,Bocas,Playa La Cabaña,1
2753,PANAMA,Bocas del Toro,Inconnu,1
2754,PANAMA,Canal Zone,300 yards west of mouth of the Chagres River,1
2755,PANAMA,Canal Zone,Inconnu,1
2756,PANAMA,Caribbean Coast,Inconnu,1
2757,PANAMA,Caribbean Sea,Golfo de los Mosquitos,1
2758,PANAMA,Caribbean Sea,Inconnu,1
2759,PANAMA,Colon,Inconnu,1
2760,PANAMA,Colon Province,Limon Bay,1
2761,PANAMA,Colon Province,"Mouth of Rio Dudio, 50 miles west of the city of Colon",1
2762,PANAMA,Colón Province,Aspinwall (Colón),1
2763,PANAMA,Colón Province,Cristobal,1
2764,PANAMA,Gulf of Panama,60 miles offshore,1
2765,PANAMA,Gulf of Panama,"North shore of Rey Island, Las Perlas archipelago",1
2766,PANAMA,Gulf of Panama,Taboga Island Bay,1
2767,PANAMA,Inconnu,"Jarque, just south of Piňas Bay",1
2768,PANAMA,Inconnu,Panama Canal,1
2769,PANAMA,Inconnu,off Culebra,1
2770,PANAMA,Las Perlas archipelago,Taboga & Isla del Rey,1
2771,PANAMA,Panama Bay (Pacific Ocean),Otoque Island,1
2772,PANAMA,Panama City,Bella Vista Beach,1
2773,PANAMA,Pearl Islands,Inconnu,1
2774,PANAMA,Pinas Bay,Inconnu,1
2775,PANAMA,San Blas,Off Achutuppu Island near Ailigandi,1
2776,PANAMA,San Blas Islands,"Achutupu, a small island ner Ailigandi",1
2777,PANAMA,San Blas Islands,Off Diable Island,1
2778,PANAMA,San Blas coast,"4 miles from Tuwala, near Mulatuppu",1
2779,PANAMA,San Carlos,Playa Teta,1
2780,PAPUA NEW GUINEA,"10ºS, 142ºE",Jukuataia Village,1
2781,PAPUA NEW GUINEA,"Abau Sub District, Central Province",Aroma Passage,1
2782,PAPUA NEW GUINEA,"Abau Sub District, Central Province",Lalaura Village,1
2783,PAPUA NEW GUINEA,"Abau Subdistrict,Central Province",Mailu area,1
2784,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province",Hus Island,1
2785,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","Lou Island, south of Manus Island",1
2786,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","Low Island, Manus",1
2787,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","M'Buke, south of Manus Island",1
2788,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","Momote, Manus Island",1
2789,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","Rossun, Manus",1
2790,PAPUA NEW GUINEA,Bougainville (North Solomons),Buka Island,1
2791,PAPUA NEW GUINEA,Bougainville (North Solomons),"Kahuli, Buka Island",1
2792,PAPUA NEW GUINEA,Bougainville (North Solomons),Kieta,1
2793,PAPUA NEW GUINEA,Bougainville (North Solomons),"Off Sing Village, Buka Island",1
2794,PAPUA NEW GUINEA,Bougainville (North Solomons),"Orava (Aravo) Islet , near Kieta.",1
2795,PAPUA NEW GUINEA,Bougainville (North Solomons),"Sohano Island, Buka Passage",1
2796,PAPUA NEW GUINEA,Bougainville (North Solomons),"Tung Island, off the west coast of Buka Island",1
2797,PAPUA NEW GUINEA,Central Province,30 miles from Port Moresby,1
2798,PAPUA NEW GUINEA,Central Province,Abau Subdistrict,1
2799,PAPUA NEW GUINEA,Central Province,"Fisherman's Island, near Port Moresby",1
2800,PAPUA NEW GUINEA,Central Province,Fisherman’s Island near Port Moresby,1
2801,PAPUA NEW GUINEA,Central Province,"Hadrian’s (Haidana?) Island, near Port Moresby",1
2802,PAPUA NEW GUINEA,Central Province,"Hula, near Port Moresby",1
2803,PAPUA NEW GUINEA,Central Province,"Kalautu Village, Baibara at the mouth of Oibada River",1
2804,PAPUA NEW GUINEA,Central Province,Kapakapa,1
2805,PAPUA NEW GUINEA,Central Province,"Kila Beach, Port Moresby",1
2806,PAPUA NEW GUINEA,Central Province,Near Fisherman's Island,1
2807,PAPUA NEW GUINEA,Central Province,"Paga Point or Fishermans Island, Port Moresby",1
2808,PAPUA NEW GUINEA,Central Province,"Paga Point, Port Moresby",1
2809,PAPUA NEW GUINEA,Central Province,Ragelapara reef,1
2810,PAPUA NEW GUINEA,Central Province,Roku Point,1
2811,PAPUA NEW GUINEA,Central Province,"Tupuselei Village, about 40 miles east of Port Moresby",1
2812,PAPUA NEW GUINEA,Central Province,Yule Island,1
2813,PAPUA NEW GUINEA,East New Britain,Pigeon Island,1
2814,PAPUA NEW GUINEA,East Sepik,Moem Village near Wewak,1
2815,PAPUA NEW GUINEA,East Sepik,Wewak,1
2816,PAPUA NEW GUINEA,Gulf Province,"Kukipi, 150 miles west of Port Moresby in the Lakekamu River area",1
2817,PAPUA NEW GUINEA,Gulf Province,Orokolo Bay,1
2818,PAPUA NEW GUINEA,Inconnu,Abau,1
2819,PAPUA NEW GUINEA,Inconnu,"Gaire Village, between Rigo & Port Moresby",1
2820,PAPUA NEW GUINEA,Inconnu,Near Port Moresby,1
2821,PAPUA NEW GUINEA,Inconnu,Port Moresby,1
2822,PAPUA NEW GUINEA,Kikori River mouth,"Ururumba, mouth of Kikori River 7.45S, 144.40E",1
2823,PAPUA NEW GUINEA,Louisiade Archipelago,"Gawa Reefs, Sudest Island",1
2824,PAPUA NEW GUINEA,Madang,"Bimat, Bogia",1
2825,PAPUA NEW GUINEA,Madang,Inconnu,1
2826,PAPUA NEW GUINEA,Madang,Matukar village,1
2827,PAPUA NEW GUINEA,Madang (WO),"Off Taludig Village, at mouth of the Murnass River",1
2828,PAPUA NEW GUINEA,Madang Province,Inconnu,1
2829,PAPUA NEW GUINEA,Madang Province,Inshore side of reef near Madang,1
2830,PAPUA NEW GUINEA,Madang Province,"Mouth of Suareng River, a mile from Taludig",1
2831,PAPUA NEW GUINEA,Madang Province,Near Madang Town,1
2832,PAPUA NEW GUINEA,Madang Province,Sek Harbor,1
2833,PAPUA NEW GUINEA,Madang Province,Taludig,1
2834,PAPUA NEW GUINEA,Milne Bay Province,Inconnu,1
2835,PAPUA NEW GUINEA,Milne Bay Province,"Kimuta, Renard Island",1
2836,PAPUA NEW GUINEA,Milne Bay Province,"Off Rossel Island, Louisiade Archipelago",1
2837,PAPUA NEW GUINEA,Milne Bay Province,Samarai Island,1
2838,PAPUA NEW GUINEA,Milne Bay Province,Samarai Island (south end),1
2839,PAPUA NEW GUINEA,Milne Bay Province,"Taupota, Samarai",1
2840,PAPUA NEW GUINEA,Milne Bay Province,Tewatewa Island,1
2841,PAPUA NEW GUINEA,Morobe Province,Bulolol,1
2842,PAPUA NEW GUINEA,Morobe Province,Finschafen,1
2843,PAPUA NEW GUINEA,Morobe Province,Huon Gulf,1
2844,PAPUA NEW GUINEA,Morobe Province,Inconnu,1
2845,PAPUA NEW GUINEA,Morobe Province,"Korem, Finschhafen",1
2846,PAPUA NEW GUINEA,Morobe Province,"Nasigilatu (Near Malasanga, Finschhafen, in the Huon Gulf)",1
2847,PAPUA NEW GUINEA,Near Bougainville (North Solomons),Huhunoti Island,1
2848,PAPUA NEW GUINEA,New Britain,"Barawon Beach, near Rabaul",1
2849,PAPUA NEW GUINEA,New Britain,"East Nakanai, Talasea",1
2850,PAPUA NEW GUINEA,New Britain,Matupi,1
2851,PAPUA NEW GUINEA,New Britain,Near Rabaul,1
2852,PAPUA NEW GUINEA,New Britain,"Rapindik Beach, Rabaul",1
2853,PAPUA NEW GUINEA,"New Britain, Bismarck Archipelago",Duke of York Island,1
2854,PAPUA NEW GUINEA,New Ireland,Between Nago and Makau,1
2855,PAPUA NEW GUINEA,New Ireland,Kavieng,1
2856,PAPUA NEW GUINEA,New Ireland,Lavongai,1
2857,PAPUA NEW GUINEA,New Ireland Province,A reef off New Hanover (Northern end),1
2858,PAPUA NEW GUINEA,New Ireland Province,"Enang , Kavieng",1
2859,PAPUA NEW GUINEA,New Ireland Province,Enuk Island,1
2860,PAPUA NEW GUINEA,New Ireland Province,"Kulengei, southeast of Kalili, Kavieng",1
2861,PAPUA NEW GUINEA,New Ireland Province,"Lamassa Island, 16 miles from Lambom Island",1
2862,PAPUA NEW GUINEA,New Ireland Province,"Lamassa Island, 16 miles from Lambon Island",1
2863,PAPUA NEW GUINEA,New Ireland Province,Lambom Island,1
2864,PAPUA NEW GUINEA,New Ireland Province,"Mission Beach, Lambon Island, near Duke of York Islands",1
2865,PAPUA NEW GUINEA,New Ireland Province,Namatanai,1
2866,PAPUA NEW GUINEA,New Ireland Province,"Samo Plantation, east coast",1
2867,PAPUA NEW GUINEA,New Ireland Province,Southern end,1
2868,PAPUA NEW GUINEA,"New Ireland Province, Bismarck Archipelago","Enuk Island, Kavieng",1
2869,PAPUA NEW GUINEA,"New Ireland Province, Bismarck Archipelago","Maritzoan, east coast of Namatanai",1
2870,PAPUA NEW GUINEA,"New Ireland Province, Bismarck Archipelago","Pekinberui Village, Tabar Island",1
2871,PAPUA NEW GUINEA,"New Ireland Province, Bismarck Archipelago","Punam Passage, Rataman census div, Namatanai",1
2872,PAPUA NEW GUINEA,"New Ireland, Bismarck Archipelago","Kabiman, West coast",1
2873,PAPUA NEW GUINEA,Northern (Oro) Province,"Dobu Passage,  D'Entrecasteaux Islands (between Normanby & Fergusson Islands)",1
2874,PAPUA NEW GUINEA,Northern District,Kufulu Point,1
2875,PAPUA NEW GUINEA,Rigo subdistrict,Kaparoka,1
2876,PAPUA NEW GUINEA,Sandaun Province,Vanimo  on Musu side of Wutong anchorage,1
2877,PAPUA NEW GUINEA,West New Britain Province,"Bulu, Talasea",1
2878,PAPUA NEW GUINEA,West New Britain Province,"East Nakanai, Talasea",1
2879,PAPUA NEW GUINEA,West New Britain Province,"Kalapiai, Kombe",1
2880,PAPUA NEW GUINEA,West New Britain Province,"Kombe, Talasea",1
2881,PAPUA NEW GUINEA,West New Britain Province,"Poi, Kombe Talasea",1
2882,PAPUA NEW GUINEA,West New Britain Province,"Volupai, Talasea",1
2883,PAPUA NEW GUINEA,West New Britain Province,"West Nakanai,  Talasea",1
2884,PAPUA NEW GUINEA,Western Papuan Gulf,Kerema,1
2885,PARAGUAY,Inconnu,Inconnu,1
2886,PERSIAN GULF,25 km off the coast of Iran & 483km from mouth of Persian Gulf,Khark Island,1
2887,PERSIAN GULF,Head of the Gulf,Inconnu,1
2888,PERSIAN GULF,Inconnu,Inconnu,1
2889,PERSIAN GULF,United Arab Emirates,Dubai,1
2890,PERU,Inconnu,Tumbez,1
2891,PHILIPPINES,200 nm southeast of Manila,Inconnu,1
2892,PHILIPPINES,300 miles east of Luzon,USS Hull DD-350 was one of 3 destroyers that capsized in Typhoon Cobra,1
2893,PHILIPPINES,Baatan,Limay,1
2894,PHILIPPINES,Batanes Provine,Luzon Strait,1
2895,PHILIPPINES,Batangas province,Mabini,1
2896,PHILIPPINES,Bernardino Strait near Gulf of Leyte,Inconnu,1
2897,PHILIPPINES,Camiguin Island,2 kilometres off Sagay,1
2898,PHILIPPINES,"Cavite Province, Luzon",Inconnu,1
2899,PHILIPPINES,Central Philippines,Inconnu,1
2900,PHILIPPINES,Corregidor Island,Inconnu,1
2901,PHILIPPINES,In transit between Tinian and Leyte,200 miles Leyte,1
2902,PHILIPPINES,Inconnu,250 miles southwest of Manila,1
2903,PHILIPPINES,Inconnu,"Grounded off Scarborough Shoals, 150 miles northwest of Manila in the South China Sea",1
2904,PHILIPPINES,Inconnu,Off Cape Engano,1
2905,PHILIPPINES,Inconnu,Off Cebu,1
2906,PHILIPPINES,Leyte,Inconnu,1
2907,PHILIPPINES,Leyte Island,Luang Dulag,1
2908,PHILIPPINES,Luzon,Inconnu,1
2909,PHILIPPINES,Luzon,"off Paoay, Ilocos Norte Province",1
2910,PHILIPPINES,Luzon Island,100 miles southeast of Manila,1
2911,PHILIPPINES,Luzon Island,Bataan,1
2912,PHILIPPINES,Luzon Island,Bohol,1
2913,PHILIPPINES,Luzon Island,Bondoc Peninsula,1
2914,PHILIPPINES,Luzon Island,Canacao Bay,1
2915,PHILIPPINES,Luzon Island,"Fort Frank, Manila Bay",1
2916,PHILIPPINES,Luzon Island,"Inner Harbor, Olongapo",1
2917,PHILIPPINES,Luzon Island,Off Manila,1
2918,PHILIPPINES,Luzon Island,"Olongapo Harbor, Subic Bay",1
2919,PHILIPPINES,Luzon Island,"Polinao Point, Manila",1
2920,PHILIPPINES,Luzon Island,"Villamar, Caoayan",1
2921,PHILIPPINES,Manila Bay,Fort Drum,1
2922,PHILIPPINES,Masbate,Balud,1
2923,PHILIPPINES,Mindanao,"Mouth of Langoyan River, Davao City",1
2924,PHILIPPINES,Mindoro,Off Manila,1
2925,PHILIPPINES,Mindoro Occidental,Off Lubang Island,1
2926,PHILIPPINES,Misamis Oriental,Cagayan de Oro,1
2927,PHILIPPINES,Moro Gulf,Inconnu,1
2928,PHILIPPINES,Negros,Escalante,1
2929,PHILIPPINES,North Palawan,Cabuli Island,1
2930,PHILIPPINES,Off Samar Island in the Gulf of Leyte,Inconnu,1
2931,PHILIPPINES,Palawan,Off Cagayancillo,1
2932,PHILIPPINES,Palawan,Off Likas Island,1
2933,PHILIPPINES,Queaon,Between Unisan & Angadanan Islands,1
2934,PHILIPPINES,Quezon,Tayabas,1
2935,PHILIPPINES,Rombion Province,Off Sibuyan Island,1
2936,PHILIPPINES,Romblon Province,"Maestre de Campo Island, 120 miles south of Manila",1
2937,PHILIPPINES,Surigao del Norte,"Off Bilisan Point, Hinatuarn Island",1
2938,PHILIPPINES,Viscayan Sea,Inconnu,1
2939,PHILIPPINES,Western Luzon Island,Manila Bay,1
2940,PHILIPPINES,Western Viscayas,"Island of Panay, Iliolo",1
2941,PHILIPPINES,Zamboanga del Sur Province,Inconnu,1
2942,PHILIPPINES,Zamboanga del Sur Province,"Near mouth of River Cumalarang, 5 miles from Port Isabela, Basilan Island",1
2943,PHILIPPINES,Zamboanga del Sur Province,Port Isabela de Basilan,1
2944,PORTUGAL,Inconnu,Sines,1
2945,PORTUGAL,Madeira,Off Funchal,1
2946,PORTUGAL,Madeira Islands,"Sao Jorge, Madeira Island",1
2947,PORTUGAL,Norte,9 nm off Vila do Conde,1
2948,PUERTO RICO,Inconnu,Off Cabo Rojo,1
2949,RED SEA,East of the Gulf of Aqaba,Inconnu,1
2950,RED SEA / INDIAN OCEAN,Enroute from Suez to Aden (Yemen),Inconnu,1
2951,REUNION,5aint-Denis,Barachois,1
2952,REUNION,Beaufonds,Inconnu,1
2953,REUNION,Bois-Blanc,Sainte-Rose,1
2954,REUNION,Conservatória District,"P' tit Paris, Saint-Pierre",1
2955,REUNION,Grand'Anse,Inconnu,1
2956,REUNION,Grand'Anse,Petite-Ile,1
2957,REUNION,Inconnu,Cap La Houssaye,1
2958,REUNION,Inconnu,Inconnu,1
2959,REUNION,Inconnu,Le Port,1
2960,REUNION,Inconnu,Roches Noire,1
2961,REUNION,Inconnu,Saint Pierre,1
2962,REUNION,Inconnu,St. Leu,1
2963,REUNION,Inconnu,la Pointe-au-Sel,1
2964,REUNION,L' Etang Salé-les-Bains,Roche-aux-Oiseaux,1
2965,REUNION,L'Etang-Sale,Inconnu,1
2966,REUNION,L'Etang-Salé,"Ravine des Sables, Saint Leu",1
2967,REUNION,La Saline-les-Bains,Revine-3-Bassins,1
2968,REUNION,Le Port,Folette,1
2969,REUNION,Saint Gilles,Trois-Roches,1
2970,REUNION,Saint Leu,Inconnu,1
2971,REUNION,Saint-Andre,Inconnu,1
2972,REUNION,Saint-Benoit,Bittern,1
2973,REUNION,Saint-Benoit,Port de la Marine,1
2974,REUNION,Saint-Benoît,Inconnu,1
2975,REUNION,Saint-Benoît,Spot de la gare,1
2976,REUNION,Saint-Denis,Barachois,1
2977,REUNION,Saint-Denis,Barachoise bridge,1
2978,REUNION,Saint-Denis,Inconnu,1
2979,REUNION,Saint-Gilles,Boucan-Canot,1
2980,REUNION,Saint-Gilles,Brisant Beach,1
2981,REUNION,Saint-Gilles,Brisants.,1
2982,REUNION,Saint-Gilles,Roches Noires,1
2983,REUNION,Saint-Gilles-les-Bains,Boucan-Canot,1
2984,REUNION,Saint-Gilles-les-Bains,Cap Homard,1
2985,REUNION,Saint-Gilles-les-Bains,"Les Aigrettes, near Boucan-Canot",1
2986,REUNION,Saint-Leu,Inconnu,1
2987,REUNION,Saint-Leu,Pointe au Sal,1
2988,REUNION,Saint-Leu,Pointe au Sel,1
2989,REUNION,Saint-Louis,Embouchure de l'étang du Gol,1
2990,REUNION,Saint-Paul,Embouchure de l'étang de Saint Paul,1
2991,REUNION,Saint-Paul,Inconnu,1
2992,REUNION,Saint-Paul,Le cimetière marin,1
2993,REUNION,Saint-Philippe,Basse Vallée,1
2994,REUNION,Saint-Philippe,Vicendo,1
2995,REUNION,Saint-Pierre,Pointe du Diable,1
2996,REUNION,Sainte-Marie,Baie de la Mare,1
2997,REUNION,Sainte-Suzanne,Temple Tamoule,1
2998,REUNION,Trois-Bassins,Inconnu,1
2999,REUNION ISLAND,Inconnu,Inconnu,1
3000,REUNION ISLAND,Inconnu,Saint Leu,1
3001,REUNION ISLAND,Inconnu,Sainte-Rose at the mouth of Riviere de l'Est,1
3002,REUNION ISLAND,Inconnu,Swimming off the British steamer Troutpool,1
3003,REUNION ISLAND,Saint-Gilles,L’Hermitage Lagoon,1
3004,ROATAN,Inconnu,Inconnu,1
3005,RUSSIA,Kuril Islands in the Pacific,"Kunashir Island, 70 km from northern Japan",1
3006,RUSSIA,"Peter the Great Bay, Khasan, Primorsky Krai (Far East)",Zheltukhin Island,1
3007,RUSSIA,Primorsky Krai,Slavyanka,1
3008,RUSSIA,"Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)",Vityaz,1
3009,SAMOA,Apolima Strait,Opposite Apelima &  Manona,1
3010,SAMOA,South Pacific Ocean,North of Northeast Samoa,1
3011,SAMOA,Upolo,Inconnu,1
3012,SAMOA,Upolu Island,Apia Harbor,1
