source,source_record_id,species,scientific_name,observed_at,latitude,longitude,country,locality,life_stage,basis_of_record,coordinate_uncertainty_m,dataset_name,license,source_url,retrieved_at
gbif,6479617390,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-07-11T09:33,19.668141,-156.104632,United States of America,,,HUMAN_OBSERVATION,30545.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6479617390,2026-09-23T07:34:02.915214+00:00
gbif,6500200634,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-07-03T09:10,-18.284898,178.009614,Fiji,,Adult,HUMAN_OBSERVATION,30666.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6500200634,2026-09-23T07:34:02.915214+00:00
gbif,6479866652,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-08-03T16:05,27.611099,-97.120688,United States of America,,Juvenile,HUMAN_OBSERVATION,29704.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6479866652,2026-09-23T07:34:02.915214+00:00
gbif,6498966566,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-08-22T14:34:43,-0.205185,73.548932,Maldives,,,HUMAN_OBSERVATION,31451.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6498966566,2026-09-23T07:34:02.915214+00:00
gbif,6500261025,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-08-05T12:29:48,21.423773,-158.323809,United States of America,,Adult,HUMAN_OBSERVATION,30377.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6500261025,2026-09-23T07:34:02.915214+00:00
gbif,6520390560,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-08-31T14:06,-23.149046,113.754309,Australia,,,HUMAN_OBSERVATION,8.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6520390560,2026-09-23T07:34:02.915214+00:00
gbif,5006802538,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2025-01-02T14:21,-23.147981,113.753724,Australia,,,HUMAN_OBSERVATION,2440.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/5006802538,2026-09-23T07:34:02.915214+00:00
gbif,5063745386,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2025-01-31T09:20:36,-29.159526,167.964168,Norfolk Island,,Adult,HUMAN_OBSERVATION,29533.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/5063745386,2026-09-23T07:34:02.915214+00:00
gbif,5063983366,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2025-01-21T11:13,-0.42769,-90.329049,Ecuador,,,HUMAN_OBSERVATION,31451.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/5063983366,2026-09-23T07:34:02.915214+00:00
gbif,5206176717,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2025-01-24T10:34,4.36285,73.572509,Maldives,,,HUMAN_OBSERVATION,31407.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/5206176717,2026-09-23T07:34:02.915214+00:00
gbif,6422505464,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2025-01-09T10:54,-14.946879,-147.725979,French Polynesia,,,HUMAN_OBSERVATION,30927.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6422505464,2026-09-23T07:34:02.915214+00:00
gbif,5063661225,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2025-02-01T15:07,8.677206,-83.213192,Costa Rica,,Juvenile,HUMAN_OBSERVATION,31271.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/5063661225,2026-09-23T07:34:02.915214+00:00
gbif,5063842354,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2025-02-03T04:38,1.756971,-91.932095,Ecuador,,,HUMAN_OBSERVATION,31444.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/5063842354,2026-09-23T07:34:02.915214+00:00
gbif,5069831221,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2025-02-13T21:56,-23.50651,152.091529,Australia,,,HUMAN_OBSERVATION,2.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/5069831221,2026-09-23T07:34:02.915214+00:00
gbif,5069964136,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2025-02-15T08:30,11.352204,124.134387,Philippines,,Adult,HUMAN_OBSERVATION,31148.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/5069964136,2026-09-23T07:34:02.915214+00:00
gbif,5069968123,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2025-02-15T08:30,11.341423,124.034487,Philippines,,Adult,HUMAN_OBSERVATION,31148.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/5069968123,2026-09-23T07:34:02.915214+00:00
gbif,5153382384,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2025-02-11T16:15,-0.242183,73.427861,Maldives,,,HUMAN_OBSERVATION,31451.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/5153382384,2026-09-23T07:34:02.915214+00:00
